Watchlist,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday Calender Data,,,,,Stock Market Trading and Investment Quotes,,,Lot Size,,,
"""NSE All Stock"" List",,"""NSE Cash"" List",,"""Nifty Indices"" List",,"""Nifty50""
Stocks List",,"""Futures""
Stocks List",,"""Nifty 500"" List",,"""Nifty 500
Multicap
50:25:25"" List",,"""All ETFs"" List",,"""Gold ETFs"" List",,"""Silver ETFs"" List",,"""My Favourite""
Watchlist-1",,"""My Holdings""
Watchlist-2",,"""Penny Stocks""
Watchlist-3",,Status (2026),Date,Day,Occasion,,Quotation,Author,,Symbol,Jul-26,Aug-26,Sep-26
STYL,,RKEC,,,,,,,,DATAPATTNS,,NYKAA,,,,,,,,,,,,,,,,,,,,,,,,,
CCHHL,,NIRAJ,,,,,,,,ZFCVINDIA,,AETHER,,,,,,,,,,,,,,,,,,,,,,,,,
AWHCL,,BAGFILMS,,,,,,,,ZYDUSWELL,,ABFRL,,,,,,,,,,,,,,,,,,,,,,,,,
MANALIPETC,,WEL,,,,,,,,ABFRL,,EMAMILTD,,,,,,,,,,,,,,,,,,,,,,,,,
TREJHARA,,SEIL,,,,,,,,MFSL,,NIACL,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIES,,DCW,,,,,,,,NYKAA,,SIGNATURE,,,,,,,,,,,,,,,,,,,,,,,,,
SURANAT&P,,ACUTAAS,,,,,,,,APARINDS,,ONGC,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATRAS,,SUVEN,,,,,,,,OLECTRA,,JAIBALAJI,,,,,,,,,,,,,,,,,,,,,,,,,
SURYALA,,UTTAMSUGAR,,,,,,,,EMAMILTD,,PNCINFRA,,,,,,,,,,,,,,,,,,,,,,,,,
CRIZAC,,PTC,,,,,,,,IIFL,,CHEMPLASTS,,,,,,,,,,,,,,,,,,,,,,,,,
RPPINFRA,,SUPREMEINF,,,,,,,,ONGC,,EQUITASBNK,,,,,,,,,,,,,,,,,,,,,,,,,
SIL,,AQYLON,,,,,,,,GRAPHITE,,NCC,,,,,,,,,,,,,,,,,,,,,,,,,
KIMS,,JINDALPOLY,,,,,,,,COHANCE,,KNRCON,,,,,,,,,,,,,,,,,,,,,,,,,
IFGLEXPOR,,ZODIACLOTH,,,,,,,,FIRSTCRY,,KSB,,,,,,,,,,,,,,,,,,,,,,,,,
WEL,,RPSGVENT,,,,,,,,NCC,,VAIBHAVGBL,,,,,,,,,,,,,,,,,,,,,,,,,
TTL,,SCPL,,,,,,,,TARIL,,TITAN,,,,,,,,,,,,,,,,,,,,,,,,,
VINNY,,AVG,,,,,,,,JINDALSAW,,COALINDIA,,,,,,,,,,,,,,,,,,,,,,,,,
KPRMILL,,SULA,,,,,,,,AIIL,,POWERGRID,,,,,,,,,,,,,,,,,,,,,,,,,
SUVEN,,STANLEY,,,,,,,,COALINDIA,,ASTRAL,,,,,,,,,,,,,,,,,,,,,,,,,
LAOPALA,,GTL,,,,,,,,IFCI,,JINDALSAW,,,,,,,,,,,,,,,,,,,,,,,,,
RAJSREESUG,,VAISHALI,,,,,,,,JAINREC,,APARINDS,,,,,,,,,,,,,,,,,,,,,,,,,
CEINSYS,,NAGAFERT,,,,,,,,ZENTEC,,PPLPHARMA,,,,,,,,,,,,,,,,,,,,,,,,,
BPCL,,LINDEINDIA,,,,,,,,POWERGRID,,HINDALCO,,,,,,,,,,,,,,,,,,,,,,,,,
NIRAJ,,AWHCL,,,,,,,,ABSLAMC,,BRIGADE,,,,,,,,,,,,,,,,,,,,,,,,,
BAGFILMS,,BSE,,,,,,,,ASTRAL,,DELHIVERY,,,,,,,,,,,,,,,,,,,,,,,,,
APLLTD,,CEINSYS,,,,,,,,KIRLOSENG,,MMTC,,,,,,,,,,,,,,,,,,,,,,,,,
ESENSEX,,ZENSARTECH,,,,,,,,TENNIND,,KPRMILL,,,,,,,,,,,,,,,,,,,,,,,,,
DCW,,DHARMAJ,,,,,,,,TITAN,,PRINCEPIPE,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJPROP,,IRIS,,,,,,,,HINDALCO,,LICI,,,,,,,,,,,,,,,,,,,,,,,,,
ZENSARTECH,,JETFREIGHT,,,,,,,,PPLPHARMA,,VEDL,,,,,,,,,,,,,,,,,,,,,,,,,
UTTAMSUGAR,,NECCLTD,,,,,,,,BRIGADE,,NATIONALUM,,,,,,,,,,,,,,,,,,,,,,,,,
PTC,,KPRMILL,,,,,,,,HEXT,,SUPREMEIND,,,,,,,,,,,,,,,,,,,,,,,,,
BSE,,APLLTD,,,,,,,,DELHIVERY,,HINDZINC,,,,,,,,,,,,,,,,,,,,,,,,,
JINDALPOLY,,LAOPALA,,,,,,,,MMTC,,BANDHANBNK,,,,,,,,,,,,,,,,,,,,,,,,,
ZODIACLOTH,,MKPL,,,,,,,,KPRMILL,,CSBBANK,,,,,,,,,,,,,,,,,,,,,,,,,
CAPLIPOINT,,MAHLIFE,,,,,,,,LICI,,RAJESHEXPO,,,,,,,,,,,,,,,,,,,,,,,,,
SCPL,,GESHIP,,,,,,,,VEDL,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANLEY,,TIMEX,,,,,,,,SUPREMEIND,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAISHALI,,GARUDA,,,,,,,,NATIONALUM,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAFERT,,MANBA,,,,,,,,HINDZINC,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWL,,VERTOZ,,,,,,,,BANDHANBNK,,,,,,,,,,,,,,,,,,,,,,,,,,,
POCL,,PIIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHLIFE,,LINCOLN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSOLVES,,TAJGVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHARMAJ,,APCOTEXIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRIS,,SIGMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARUDA,,SAPPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JETFREIGHT,,GHCLTEXTIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NECCLTD,,AKASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCF,,ANKITMETAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGFIN,,CLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTYINDDIGITAL,,SGFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERARCH,,RCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYMPHONY,,GEOJITFSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMEX,,WILLAMAGOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANBA,,VLEGOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XCHANGING,,WENDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERTOZ,,DMCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPACKPEB,,GANECOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMASTEEL,,WAAREERTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTTECH,,EVERESTIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIENTER,,INOXWIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENSKART,,FILATEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INOXWIND,,HCLTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGMA,,JARO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAPPL,,CMSINFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKASH,,MANAKSTEEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKITMETAL,,INTERARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RATEGAIN,,BHARATSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSL,,MUFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKEC,,TEXINFRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNFLAG,,KIRLOSIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEIL,,LUXIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUFIN,,SICALLOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANSTAR,,GRANDOAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLAMAGOR,,NEULANDLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLEGOV,,SHILCTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVANGERE,,CHOLAHLDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRADPME,,BETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERESTIND,,GANDHITUBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHILCTECH,,ATGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANECOS,,SOLARWORLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANAKSTEEL,,FABTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUXIND,,RATEGAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATSE,,SMARTWORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SICALLOG,,SUNFLAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIRLOSIND,,SUKHJITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEAN,,LOVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHCLTEXTIL,,BESTAGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTNINDIA,,APOLSINHOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANDOAK,,DPABHUSHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GESHIP,,GRANULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANULES,,BLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLARWORLD,,MURUDCERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABTECH,,CORDSCABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECAM,,PRECAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSHIL,,KIRLPNU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCLTECH,,HINDCOMPOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMARTWORKS,,SOFTTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUKHJITS,,NATHBIOGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HITECH,,ARIHANTCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOVABLE,,RAJSREESUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESTAGRO,,AFIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIIND,,LEMONTREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA,,QUINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLSINHOT,,KNRCON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURUDCERA,,ALEMBICLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECTRUM,,REPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDSCABLE,,ADROITINFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBCC,,HGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDHRSUGAR,,EPACKPEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDCOMPOS,,PRIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTEMISMED,,RUSHIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATHBIOGEN,,PANAMAPET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIHANTCAP,,SPMLINFRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIL,,TOKYOPLAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLS,,RTNINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUINT,,ANTGRAPHIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAAREERTL,,GRSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSPPROJECT,,GODREJAGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNRCON,,IOLCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPL,,RAJESHEXPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPABHUSHAN,,JISLDVREQS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGS,,JBCHEPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIRIINDUS,,ARVIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMO,,EMSLIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATGL,,ORIENTTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJAGRO,,SPECIALITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARVIND,,LANCORHOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOKYOPLAST,,TCIFINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTGRAPHIC,,HATSUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJGVK,,IONEXCHANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHARC,,AMANTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANAKALUCO,,RADIANTCMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAIN,,RMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNRL,,NBCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNIDETF,,LFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JISLDVREQS,,WORTHPERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFFLE,,XCHANGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTHOOTCAP,,CCCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEMONTREE,,ASTRAZEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECIALITY,,NAUKRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANCORHOL,,PSPPROJECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCIFINANCE,,APOLLOPIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IONEXCHANG,,MOREPENLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAZEN,,INDPRUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INOXINDIA,,OLECTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARTIPHARM,,ARTEMISMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOKEX,,THOMASCOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMC,,CYBERTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBLENGINE,,GANESHBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFIC,,SHREERAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORTHPERI,,FEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXINFRA,,NATIONSTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHIMASYN,,UNIMECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPIL,,BHARATGEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAUKRI,,DOLATALGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CESC,,HCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPREMEINF,,BALRAMCHIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDPRUD,,MASTERTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOLCP,,HITECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANESHBE,,RUCHINFRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOREALTY,,VIKRAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREERAMA,,NEXTMEDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEL,,JBMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIIL,,CESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONSTD,,GNRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERTR,,LIBAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLATALGO,,INOXINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILATEX,,JAICORPLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLOPIPE,,HIMATSEIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STUDDS,,ALKALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBERTECH,,ALLCARGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUCHINFRA,,HONDAPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRSE,,GPTINFRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAHLDNG,,ANUHPHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMCC,,MTNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDOFARM,,KPIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEXTMEDIA,,MARINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WENDT,,DAMODARIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUESTARCO,,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGI,,SALONA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANANTRAJ,,HBLENGINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPL,,MARATHON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEROENTER,,WAAREEINDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBAS,,MUTHOOTCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEULANDLAB,,SWSOLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUBLINGREA,,PALASHSECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKALI,,SUNDARAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARACABLES,,BLUESTARCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONDAPOWER,,XPROINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARINE,,JUBLINGREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIKRAN,,AKSHARCHEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBCHEPHARM,,UNIENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALRAMCHIN,,GOKEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANAMAPET,,AGIIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPTINFRA,,KHAICHEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANUHPHR,,RNBDENIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTNL,,TIPSMUSIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLEXIADD,,INDORAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMODARIND,,KIRIINDUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALONA,,VSTIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOREPENLAB,,DBEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAAREEINDO,,AVONMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALASHSECU,,PILITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDARAM,,ZYDUSLIFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPROINDIA,,PRAJIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKSHARCHEM,,ICDSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALAJITELE,,ANANTRAJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLECTRA,,CEWATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARATHON,,AGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROWWRLTY,,STUDDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDORAMA,,SIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIIL,,BIRLACABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMSLIMITED,,GOODLUCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSTIND,,QUESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWSOLAR,,NIITMTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBEIL,,HALEOSLABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PILITA,,SGIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIMATSEIDE,,KAPSTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICDSLTD,,ELGIRUBCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARYSIL,,NORTHARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEWATER,,GANGAFORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLCARGO,,STARHEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,,JASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYIENT,,SESHAPAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCG,,KRONOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBMA,,SOMATEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIITMTS,,TNPETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURYAROSNI,,LYKALABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRLACABLE,,MALUPAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIRLPNU,,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESS,,BANCOINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHAICHEM,,RAMKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCL,,SURYAROSNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAJIND,,EPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTLSOLAR,,AMNPLST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSPL,,ORCHASP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHETAN,,GRINDWELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNBDENIMS,,POWERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALEOSLABS,,MANINFRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGIL,,AROGRANITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANYAVAR,,TIIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPSTON,,MANKIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANINFRA,,EIDPARRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPSMUSIC,,LINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANCOINDIA,,BALAJITELE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTKPRESTIG,,MANAKALUCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANGAFORGE,,UNIINFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SESHAPAPER,,POLYPLEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KITEX,,KWIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRONOX,,MENNPIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMATEX,,VARDHACRLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNPETRO,,RHETAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROWWNET,,PRAXIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKSHAR,,COLPAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHOSLTD,,PRADPME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEANMAX,,EIHOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMKY,,NAHARCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNPLST,,KITEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHIND,,FLUOROCHEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
