Watchlist,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday Calender Data,,,,,Stock Market Trading and Investment Quotes,,,Lot Size,,,
"""NSE All Stock"" List",,"""NSE Cash"" List",,"""Nifty Indices"" List",,"""Nifty50""
Stocks List",,"""Futures""
Stocks List",,"""Nifty 500"" List",,"""Nifty 500
Multicap
50:25:25"" List",,"""All ETFs"" List",,"""Gold ETFs"" List",,"""Silver ETFs"" List",,"""My Favourite""
Watchlist-1",,"""My Holdings""
Watchlist-2",,"""Penny Stocks""
Watchlist-3",,Status (2026),Date,Day,Occasion,,Quotation,Author,,Symbol,Jul-26,Aug-26,Sep-26
TBOTEK,,TBOTEK,,,,,,DLF,,BHARTIHEXA,,JSWENERGY,,MONIFTY500,,,,,,,,,,HMAAGRO,,Close,24/10/23,Tuesday,Dussehra,,"Pigs get fat, hogs get slaughtered. In trading like in life, never be afraid to leave the party early.",Unknown,,FEDERALBNK,2500,2500,2500
EMKAY,,BIMETAL,,,,,,HCLTECH,,BHARATFORG,,RAMCOCEM,,MIDCAPADD,,,,,,,,,,AQYLON,,Close,14/11/23,Tuesday,Diwali-Balipratipada,,Traders should stop thinking about how much they can profit and start focusing on how much they are risking.,Unknown,,FINNIFTY,60,60,60
BIMETAL,,APOLLO,,,,,,ZYDUSLIFE,,JKTYRE,,KAJARIACER,,EBBETF0433,,,,,,,,,,PARACABLES,,Close,27/11/23,Monday,Gurunanak Jayanti,,"Having trading discipline is the beginning, keeping discipline is the progress, staying disciplined is the success.",Unknown,,FORCEMOT,25,25,25
INNOVANA,,TEJASNET,,,,,,IREDA,,ABB,,TCS,,ECAPINSURE,,,,,,,,,,RAJRILTD,,Close,25/12/23,Monday,Christmas,,The single most important advice I can give is: learn from your mistakes.,Unknown,,FORTIS,775,775,775
ORIENTBELL,,INNOVANA,,,,,,ULTRACEMCO,,WELCORP,,SBIN,,MAKEINDIA,,,,,,,,,,CENTRUM,,,,,,,"In order to succeed, you first have to be willing to experience failure.",Unknown,,GAIL,3550,3550,3550
LATENTVIEW,,EXCELSOFT,,,,,,CONCOR,,GODFRYPHLP,,TMPV,,MANUFGBEES,,,,,,,,,,CIFL,,Status (2022),Date,Day,Occasion,,Behind every successful trader there is a lot of unsuccessful years.,Unknown,,GLENMARK,375,375,375
EXCELSOFT,,EUROPRATIK,,,,,,DABUR,,BELRISE,,BLUEDART,,MULTICAP,,,,,,,,,,MICEL,,Close,26/01/22,Wednesday,Republic Day,,"Don't make friends with trends, make friends with each candlestick.",Unknown,,GMRAIRPORT,6975,6975,6975
TEJASNET,,ORIENTBELL,,,,,,RELIANCE,,ADANIENSOL,,SCHNEIDER,,NEXT50BETA,,,,,,,,,,BCLIND,,Close,01/03/22,Tuesday,Mahashivratri,,"It's not the bull side or the bear side, but the right side.",Jesse Livermore,,GODFRYPHLP,275,275,275
SHYAMCENT,,LATENTVIEW,,,,,,ICICIBANK,,AFCONS,,GRINDWELL,,NETF,,,,,,,,,,INDORAMA,,Close,18/03/22,Friday,Holi,,Believe in analysis not forecasting.,Unknown,,GODREJCP,500,500,500
TECHM,,SHYAMCENT,,,,,,TRENT,,LEMONTREE,,VOLTAS,,LIQUIDCASE,,,,,,,,,,DPSCLTD,,Close,14/04/22,Thursday,Dr. Baba Saheb Ambedkar Jayanti/ Mahavir Jayanti,,Stocks are bought not in fear but in hope; they are typically sold out of fear.,Mark Manns,,GODREJPROP,325,325,325
AEROFLEX,,IGIL,,,,,,BLUESTARCO,,BAJAJ-AUTO,,WHIRLPOOL,,GROWWLIQID,,,,,,,,,,RAMASTEEL,,Close,15/04/22,Friday,Good Friday,,What you learn today can improve all your tomorrows.,Unknown,,GRASIM,250,250,250
